ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T12:29:51Z,61,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=2.1,0,
2026-08-22T12:29:53Z,62,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=2.6,0,
2026-08-22T12:29:56Z,63,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.0,0,
2026-08-22T12:29:58Z,64,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.3,0,
2026-08-22T12:30:01Z,65,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.3,0,
2026-08-22T12:30:04Z,66,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=2.2,0,
2026-08-22T12:30:06Z,67,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=2.2,0,
2026-08-22T12:30:09Z,68,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.5,0,
2026-08-22T12:30:12Z,69,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.2,0,
2026-08-22T12:30:15Z,70,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.0,0,
2026-08-22T12:30:17Z,71,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.1,0,
2026-08-22T12:30:20Z,72,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T12:30:23Z,73,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.8,0,
2026-08-22T12:30:26Z,74,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.8,0,
2026-08-22T12:30:29Z,75,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.8,0,
2026-08-22T12:30:31Z,76,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.9,0,
2026-08-22T12:30:34Z,77,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.8,0,
2026-08-22T12:30:37Z,78,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.3,0,
2026-08-22T12:30:40Z,79,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.3,0,
2026-08-22T12:30:42Z,80,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:30:45Z,81,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:30:48Z,82,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:30:50Z,83,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:30:54Z,84,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:31:00Z,85,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.0,0,
2026-08-22T12:31:03Z,86,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.3,0,
2026-08-22T12:31:06Z,87,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.2,0,
2026-08-22T12:31:08Z,88,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.0,0,
2026-08-22T12:31:11Z,89,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=1.4,0,
2026-08-22T12:31:14Z,90,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=1.4,0,
2026-08-22T12:31:16Z,91,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:31:19Z,92,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:31:22Z,93,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:31:25Z,94,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:31:27Z,95,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.1,0,
2026-08-22T12:31:30Z,96,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.6,0,
2026-08-22T12:31:33Z,97,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.0,0,
2026-08-22T12:31:36Z,98,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.0,0,
2026-08-22T12:31:38Z,99,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.9,0,
