run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_V2,2026-08-14T18:51:02Z,966,BETA_X5,SELL,62882.50000000,62868.00000000,0.00940000,2.30588797,0.13630000,shock_inversion_stop,8,18:50:53,18:51:02
Run_V2,2026-08-14T18:51:38Z,969,BETA_X5,SELL,62879.70000000,62883.10000000,0.00470000,-0.54071505,-0.01598000,shock_inversion_stop,6,18:51:32,18:51:38
Run_V2,2026-08-14T18:59:09Z,1018,BETA_X5,SELL,62882.90000000,62883.20000000,0.00470000,-0.04770772,-0.00141000,shock_inversion_stop,6,18:59:02,18:59:08
Run_V2,2026-08-14T19:01:22Z,1032,BETA_X5,SELL,62868.00000000,62866.60000000,0.00760000,0.22268881,0.01064000,shock_inversion_stop,11,19:01:10,19:01:22
Run_V2,2026-08-14T19:02:47Z,1041,BETA_X5,SELL,62866.00000000,62865.80000000,0.00940000,0.03181370,0.00188000,shock_inversion_stop,6,19:02:41,19:02:47
Run_V2,2026-08-14T19:05:19Z,1058,BETA_X5,SELL,62857.00000000,62863.40000000,0.00940000,-1.01818413,-0.06016000,shock_inversion_stop,6,19:05:12,19:05:18
Run_V2,2026-08-14T19:05:46Z,1060,BETA_X5,SELL,62857.00000000,62857.70000000,0.00470000,-0.11136389,-0.00329000,shock_inversion_stop,6,19:05:40,19:05:46
Run_V2,2026-08-14T19:06:14Z,1062,BETA_X5,SELL,62857.00000000,62857.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:06:08,19:06:14
Run_V2,2026-08-14T19:06:35Z,1063,BETA_X5,SELL,62857.00000000,62857.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:06:28,19:06:34
Run_V2,2026-08-14T19:07:03Z,1065,BETA_X5,SELL,62857.00000000,62845.30000000,0.00940000,1.86136787,0.10998000,shock_inversion_stop,6,19:06:56,19:07:03
Run_V2,2026-08-14T19:09:27Z,1081,BETA_X5,SELL,62845.20000000,62845.20000000,0.00470000,-0.00000000,-0.00000000,fluid_exit_inversion,7,19:09:20,19:09:27
Run_V2,2026-08-14T19:10:12Z,1085,BETA_X5,SELL,62856.70000000,62856.70000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:10:06,19:10:12
Run_V2,2026-08-14T19:11:40Z,1094,BETA_X5,SELL,62828.40000000,62825.50000000,0.00940000,0.46157470,0.02726000,shock_inversion_stop,6,19:11:34,19:11:40
Run_V2,2026-08-14T19:13:39Z,1105,BETA_X5,SELL,62833.70000000,62833.80000000,0.00470000,-0.01591503,-0.00047000,fluid_exit_brake,6,19:13:32,19:13:39
Run_V2,2026-08-14T19:14:34Z,1110,BETA_X5,SELL,62836.70000000,62841.10000000,0.00470000,-0.70022773,-0.02068000,fluid_exit_brake,7,19:14:27,19:14:34
Run_V2,2026-08-14T19:16:48Z,1125,BETA_X5,SELL,62823.00000000,62823.00000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:16:41,19:16:47
Run_V2,2026-08-14T19:17:48Z,1131,BETA_X5,SELL,62823.00000000,62823.00000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:17:41,19:17:47
Run_V2,2026-08-14T19:18:32Z,1135,BETA_X5,SELL,62828.00000000,62828.00000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:18:26,19:18:32
Run_V2,2026-08-14T19:18:52Z,1136,BETA_X5,SELL,62825.20000000,62823.00000000,0.00940000,0.35017795,0.02068000,shock_inversion_stop,6,19:18:45,19:18:52
Run_V2,2026-08-14T19:19:38Z,1140,BETA_X5,SELL,62841.00000000,62823.10000000,0.00940000,2.84845881,0.16826000,shock_inversion_stop,6,19:19:31,19:19:38
Run_V2,2026-08-14T19:20:07Z,1142,BETA_X5,SELL,62823.10000000,62823.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:20:00,19:20:06
Run_V2,2026-08-14T19:20:27Z,1143,BETA_X5,SELL,62823.10000000,62823.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:20:20,19:20:26
