open_time,open,high,low,close,volume,close_time
1784163240000,64606.80,64625.00,64585.70,64585.70,58.953,1784163299999
1784163300000,64585.70,64585.80,64553.60,64560.50,46.830,1784163359999
1784163360000,64560.50,64575.50,64544.50,64575.50,37.462,1784163419999
1784163420000,64575.50,64575.50,64551.90,64552.00,25.824,1784163479999
1784163480000,64551.90,64570.70,64551.90,64554.40,31.402,1784163539999
1784163540000,64554.40,64564.20,64552.60,64554.30,32.271,1784163599999
1784163600000,64554.30,64582.50,64554.30,64573.80,48.231,1784163659999
1784163660000,64573.90,64577.10,64558.00,64562.80,53.498,1784163719999
1784163720000,64562.80,64562.80,64530.60,64530.70,34.825,1784163779999
1784163780000,64530.60,64572.10,64525.10,64572.10,45.206,1784163839999
1784163840000,64572.10,64584.50,64561.10,64584.40,28.921,1784163899999
1784163900000,64584.50,64617.10,64579.20,64607.10,55.491,1784163959999
1784163960000,64607.20,64607.20,64582.90,64596.00,30.695,1784164019999
1784164020000,64596.10,64613.20,64596.00,64606.90,21.266,1784164079999
1784164080000,64606.90,64633.90,64606.90,64611.20,46.529,1784164139999
1784164140000,64611.30,64623.80,64605.00,64607.90,50.050,1784164199999
1784164200000,64608.00,64621.70,64591.90,64591.90,49.396,1784164259999
1784164260000,64591.90,64601.30,64586.10,64593.00,22.524,1784164319999
1784164320000,64593.00,64593.10,64554.30,64558.20,53.708,1784164379999
1784164380000,64558.20,64583.50,64558.10,64583.50,13.546,1784164439999
1784164440000,64583.50,64596.80,64574.60,64574.70,25.031,1784164499999
1784164500000,64574.60,64574.70,64554.90,64559.80,38.280,1784164559999
1784164560000,64559.90,64559.90,64558.20,64558.30,17.617,1784164619999
1784164620000,64558.30,64558.30,64480.00,64480.00,86.458,1784164679999
1784164680000,64480.10,64480.10,64362.20,64372.60,844.438,1784164739999
1784164740000,64372.60,64412.60,64366.10,64383.70,202.817,1784164799999
1784164800000,64383.60,64423.20,64362.70,64420.90,135.236,1784164859999
1784164860000,64420.90,64450.00,64420.40,64428.70,114.026,1784164919999
1784164920000,64428.60,64440.00,64421.50,64440.00,58.343,1784164979999
1784164980000,64439.90,64481.70,64439.90,64481.70,71.598,1784165039999
1784165040000,64481.60,64484.90,64470.00,64480.00,44.867,1784165099999
1784165100000,64479.90,64496.00,64477.90,64495.90,45.067,1784165159999
1784165160000,64495.90,64546.60,64495.90,64540.30,90.059,1784165219999
1784165220000,64540.30,64570.80,64540.20,64561.60,81.536,1784165279999
1784165280000,64561.60,64576.10,64555.90,64560.10,31.819,1784165339999
1784165340000,64560.00,64560.10,64528.00,64532.60,32.584,1784165399999
1784165400000,64532.70,64560.00,64532.60,64559.20,62.594,1784165459999
1784165460000,64559.10,64583.00,64552.70,64575.70,38.501,1784165519999
1784165520000,64575.70,64586.00,64575.60,64586.00,22.004,1784165579999
1784165580000,64585.90,64589.00,64558.90,64563.20,36.129,1784165639999
1784165640000,64563.20,64600.00,64563.10,64600.00,26.332,1784165699999
1784165700000,64600.00,64633.10,64599.90,64611.10,73.547,1784165759999
1784165760000,64611.00,64663.30,64611.00,64630.00,103.038,1784165819999
1784165820000,64630.10,64641.40,64605.40,64638.70,54.913,1784165879999
1784165880000,64638.60,64644.40,64634.60,64635.10,35.011,1784165939999
1784165940000,64635.10,64659.70,64628.10,64656.00,59.168,1784165999999
