ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:34:44,ACE_DUO_CLEAN_V3_15M,BETA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:34:47,ACE_DUO_CLEAN_V3_15M,ALPHA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=1.88361148
15:34:49,ACE_DUO_CLEAN_V3_15M,BETA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:34:57,ACE_DUO_CLEAN_V3_15M,BETA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=2.63282306
15:34:59,ACE_DUO_CLEAN_V3_15M,ALPHA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=2.63281492
15:35:06,ACE_DUO_CLEAN_V3_15M,ALPHA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00012523
15:35:08,ACE_DUO_CLEAN_V3_15M,BETA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00031363
15:35:11,ACE_DUO_CLEAN_V3_15M,ALPHA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:16,ACE_DUO_CLEAN_V3_15M,BETA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.9603868
15:35:17,ACE_DUO_CLEAN_V3_15M,ALPHA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:22,ACE_DUO_CLEAN_V3_15M,ALPHA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=9e-06
15:35:23,ACE_DUO_CLEAN_V3_15M,BETA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=2.0550943
15:35:27,ACE_DUO_CLEAN_V3_15M,ALPHA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:28,ACE_DUO_CLEAN_V3_15M,BETA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:33,ACE_DUO_CLEAN_V3_15M,ALPHA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:33,ACE_DUO_CLEAN_V3_15M,BETA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:40,ACE_DUO_CLEAN_V3_15M,ALPHA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1237,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.14840169
15:35:41,ACE_DUO_CLEAN_V3_15M,BETA,16,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1237,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.14838832
15:35:46,ACE_DUO_CLEAN_V3_15M,ALPHA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:46,ACE_DUO_CLEAN_V3_15M,BETA,17,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:51,ACE_DUO_CLEAN_V3_15M,BETA,18,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:35:52,ACE_DUO_CLEAN_V3_15M,ALPHA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00186232
15:36:00,ACE_DUO_CLEAN_V3_15M,BETA,19,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.3754,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.45047653
15:36:01,ACE_DUO_CLEAN_V3_15M,ALPHA,16,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.3754,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.45046834
15:37:00,ACE_DUO_CLEAN_V3_15M,BETA,21,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:37:06,ACE_DUO_CLEAN_V3_15M,BETA,22,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00019017
15:37:16,ACE_DUO_CLEAN_V3_15M,BETA,23,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:37:21,ACE_DUO_CLEAN_V3_15M,BETA,24,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00033289
15:37:26,ACE_DUO_CLEAN_V3_15M,BETA,25,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:37:34,ACE_DUO_CLEAN_V3_15M,BETA,26,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2188,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.26259751
15:37:41,ACE_DUO_CLEAN_V3_15M,BETA,27,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.073,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.08761499
15:37:46,ACE_DUO_CLEAN_V3_15M,BETA,28,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=4.97e-06
15:37:54,ACE_DUO_CLEAN_V3_15M,BETA,29,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.0819,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.08880748
15:37:59,ACE_DUO_CLEAN_V3_15M,BETA,30,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:03,ACE_DUO_CLEAN_V3_15M,BETA,31,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=6.54e-06
15:38:08,ACE_DUO_CLEAN_V3_15M,BETA,32,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.00014263
15:38:15,ACE_DUO_CLEAN_V3_15M,BETA,33,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:21,ACE_DUO_CLEAN_V3_15M,BETA,34,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=6.03e-06
15:38:26,ACE_DUO_CLEAN_V3_15M,BETA,35,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:29,ACE_DUO_CLEAN_V3_15M,ALPHA,18,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:33,ACE_DUO_CLEAN_V3_15M,BETA,36,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1744,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.20923038
15:38:37,ACE_DUO_CLEAN_V3_15M,ALPHA,19,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1735,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.20822363
15:38:40,ACE_DUO_CLEAN_V3_15M,BETA,37,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.073,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.08763316
