ts,px_close,H_alpha,H_beta,h_src_alpha,h_src_beta,pos_alpha,pos_beta,pnlVirtAlpha,pnlVirtBeta
2026-09-05T20:35:00,79668.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:36:00,79723.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:37:00,79705.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:38:00,79689.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:39:00,79682.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:40:00,79691.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:41:00,79714.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:42:00,79731.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:43:00,79737.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:44:00,79753.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:45:00,79737.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:46:00,79733.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:47:00,79727.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:48:00,79724.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:49:00,79738.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:50:00,79753.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:51:00,79742.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:52:00,79715.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:53:00,79700.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:54:00,79715.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:55:00,79715.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:56:00,79716.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:57:00,79720.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:58:00,79753.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T20:59:00,79702.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:00:00,79709.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:01:00,79700.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:02:00,79702.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:03:00,79695.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:04:00,79698.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:05:00,79689.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:06:00,79704.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:07:00,79715.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:08:00,79743.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:09:00,79743.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:10:00,79750.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:11:00,79754.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:12:00,79748.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:13:00,79746.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:14:00,79749.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:15:00,79748.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:16:00,79748.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:17:00,79754.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:18:00,79784.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:19:00,79803.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:20:00,79795.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:21:00,79795.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:22:00,79828.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:23:00,79828.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:24:00,79821.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:25:00,79814.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:26:00,79825.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:27:00,79822.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:28:00,79819.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:29:00,79818.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:30:00,79819.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:31:00,79820.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:32:00,79812.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:33:00,79812.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:34:00,79812.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:35:00,79809.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:36:00,79809.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:37:00,79805.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:38:00,79815.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:39:00,79828.30,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:40:00,79818.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:41:00,79845.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:42:00,79868.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:43:00,79837.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:44:00,79876.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:45:00,79867.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T21:46:00,79832.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
