ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:10:52Z,ACE_DUO_CLEAN_V4_15M,BETA,52,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:10:58Z,ACE_DUO_CLEAN_V4_15M,BETA,53,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.02464721 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:05Z,ACE_DUO_CLEAN_V4_15M,BETA,54,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.237 mom_sig=0.28437860 raw_mom_bps=0.00000000 spread_bps=40.28660000 tension=0.28437860 bid_drop=1.84846088 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:14Z,ACE_DUO_CLEAN_V4_15M,BETA,55,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.0547 mom_sig=0.06562244 raw_mom_bps=-6.59808424 spread_bps=28.23250000 tension=0.06562244 bid_drop=0.42654589 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:20Z,ACE_DUO_CLEAN_V4_15M,BETA,56,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:25Z,ACE_DUO_CLEAN_V4_15M,BETA,57,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:31Z,ACE_DUO_CLEAN_V4_15M,BETA,58,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.01778955 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:37Z,ACE_DUO_CLEAN_V4_15M,BETA,59,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.03693312 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:44Z,ACE_DUO_CLEAN_V4_15M,BETA,60,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.0504 mom_sig=0.06043280 raw_mom_bps=0.00000000 spread_bps=26.69990000 tension=0.06043280 bid_drop=0.39281323 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:11:52Z,ACE_DUO_CLEAN_V4_15M,BETA,61,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.67677796 raw_mom_bps=0.00000000 spread_bps=26.69990000 tension=2.67677796 bid_drop=17.39905673 ask_drop=0.29718356 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:12:03Z,ACE_DUO_CLEAN_V4_15M,BETA,62,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00047294 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
