ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:07:43Z,ACE_DUO_CLEAN_V4_15M,ALPHA,41,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.71725155 raw_mom_bps=0.00000000 spread_bps=13.99180000 tension=1.71725155 bid_drop=0.00000000 ask_drop=11.16213509 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:48Z,ACE_DUO_CLEAN_V4_15M,ALPHA,42,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:07:54Z,ACE_DUO_CLEAN_V4_15M,ALPHA,43,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:02Z,ACE_DUO_CLEAN_V4_15M,ALPHA,44,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=0.68693006 raw_mom_bps=0.00000000 spread_bps=37.72960000 tension=0.68693006 bid_drop=4.46504537 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:11Z,ACE_DUO_CLEAN_V4_15M,ALPHA,45,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.59909315 raw_mom_bps=0.00000000 spread_bps=38.93270000 tension=1.59909315 bid_drop=10.39410550 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:24Z,ACE_DUO_CLEAN_V4_15M,ALPHA,46,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=3.29260067 raw_mom_bps=0.00000000 spread_bps=16.12620000 tension=3.29260067 bid_drop=21.40190434 ask_drop=2.39976813 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:31Z,ACE_DUO_CLEAN_V4_15M,ALPHA,47,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:37Z,ACE_DUO_CLEAN_V4_15M,ALPHA,48,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:44Z,ACE_DUO_CLEAN_V4_15M,ALPHA,49,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=6.26790143 raw_mom_bps=0.00000000 spread_bps=17.36950000 tension=6.26790143 bid_drop=14.20881445 ask_drop=40.74135931 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:50Z,ACE_DUO_CLEAN_V4_15M,ALPHA,50,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:08:56Z,ACE_DUO_CLEAN_V4_15M,ALPHA,51,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.03620398 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:01Z,ACE_DUO_CLEAN_V4_15M,ALPHA,52,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:07Z,ACE_DUO_CLEAN_V4_15M,ALPHA,53,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:15Z,ACE_DUO_CLEAN_V4_15M,ALPHA,54,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.3405 mom_sig=0.40861051 raw_mom_bps=-15.21921948 spread_bps=8.94970000 tension=0.40861051 bid_drop=0.00000000 ask_drop=2.65596834 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,55,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:28Z,ACE_DUO_CLEAN_V4_15M,ALPHA,56,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:38Z,ACE_DUO_CLEAN_V4_15M,ALPHA,57,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:44Z,ACE_DUO_CLEAN_V4_15M,ALPHA,58,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:49Z,ACE_DUO_CLEAN_V4_15M,ALPHA,59,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:09:55Z,ACE_DUO_CLEAN_V4_15M,ALPHA,60,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:00Z,ACE_DUO_CLEAN_V4_15M,ALPHA,61,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:05Z,ACE_DUO_CLEAN_V4_15M,ALPHA,62,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:11Z,ACE_DUO_CLEAN_V4_15M,ALPHA,63,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:16Z,ACE_DUO_CLEAN_V4_15M,ALPHA,64,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00001992 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,65,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00084353 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:28Z,ACE_DUO_CLEAN_V4_15M,ALPHA,66,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00191884 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:34Z,ACE_DUO_CLEAN_V4_15M,ALPHA,67,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:39Z,ACE_DUO_CLEAN_V4_15M,ALPHA,68,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:45Z,ACE_DUO_CLEAN_V4_15M,ALPHA,69,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:52Z,ACE_DUO_CLEAN_V4_15M,ALPHA,70,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00040211 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:10:57Z,ACE_DUO_CLEAN_V4_15M,ALPHA,71,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.02464721 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:05Z,ACE_DUO_CLEAN_V4_15M,ALPHA,72,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.466 mom_sig=0.55914182 raw_mom_bps=0.00000000 spread_bps=40.28660000 tension=0.55914182 bid_drop=3.63442183 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:14Z,ACE_DUO_CLEAN_V4_15M,ALPHA,73,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.0547 mom_sig=0.06566254 raw_mom_bps=0.00000000 spread_bps=28.23250000 tension=0.06566254 bid_drop=0.42680654 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,74,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=wall_not_collapsed tension=0.28870783 bid_drop=1.87660090 ask_drop=0.00000000;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:30Z,ACE_DUO_CLEAN_V4_15M,ALPHA,75,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.3136 mom_sig=0.37637026 raw_mom_bps=0.00000000 spread_bps=24.99470000 tension=0.37637026 bid_drop=2.44640666 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:37Z,ACE_DUO_CLEAN_V4_15M,ALPHA,76,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.03693312 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:45Z,ACE_DUO_CLEAN_V4_15M,ALPHA,77,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.2744 mom_sig=0.32924892 raw_mom_bps=0.00000000 spread_bps=26.69990000 tension=0.32924892 bid_drop=2.14011801 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:53Z,ACE_DUO_CLEAN_V4_15M,ALPHA,78,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.4953 mom_sig=0.59437323 raw_mom_bps=5.46222645 spread_bps=26.69990000 tension=0.59437323 bid_drop=3.86342600 ask_drop=0.25569933 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:11:59Z,ACE_DUO_CLEAN_V4_15M,ALPHA,79,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:07Z,ACE_DUO_CLEAN_V4_15M,ALPHA,80,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=wall_not_collapsed tension=0.25485305 bid_drop=1.65654485 ask_drop=0.00000000;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:13Z,ACE_DUO_CLEAN_V4_15M,ALPHA,81,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:18Z,ACE_DUO_CLEAN_V4_15M,ALPHA,82,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:23Z,ACE_DUO_CLEAN_V4_15M,ALPHA,83,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:29Z,ACE_DUO_CLEAN_V4_15M,ALPHA,84,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:34Z,ACE_DUO_CLEAN_V4_15M,ALPHA,85,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.04912434 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:40Z,ACE_DUO_CLEAN_V4_15M,ALPHA,86,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:45Z,ACE_DUO_CLEAN_V4_15M,ALPHA,87,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.01450668 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:12:54Z,ACE_DUO_CLEAN_V4_15M,ALPHA,88,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.0572 mom_sig=0.06867050 raw_mom_bps=0.00000000 spread_bps=13.22040000 tension=0.06867050 bid_drop=0.44635822 ask_drop=0.08795158 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:13:00Z,ACE_DUO_CLEAN_V4_15M,ALPHA,89,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:13:08Z,ACE_DUO_CLEAN_V4_15M,ALPHA,90,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00165457 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
