trade_id,ts,symbol,side,qty,price,realized_pnl,commission,commission_asset,role
529721450,2026-08-21T15:32:08Z,BTCUSDT,BUY,0.02110000,77663.60,0.00000000,0.65548078,USDT,
529721703,2026-08-21T15:34:00Z,BTCUSDT,SELL,0.00440000,77657.90,0.00000000,0.13667790,USDT,
529721713,2026-08-21T15:34:03Z,BTCUSDT,SELL,0.00200000,77657.90,0.00000000,0.06212632,USDT,
529722381,2026-08-21T15:35:51Z,BTCUSDT,SELL,0.00860000,77563.70,-0.85914000,0.26681912,USDT,
529722500,2026-08-21T15:36:48Z,BTCUSDT,BUY,0.00640000,77563.60,0.60352000,0.19856281,USDT,
529722535,2026-08-21T15:37:01Z,BTCUSDT,SELL,0.03350000,77563.40,-3.35670000,1.03934956,USDT,
529723043,2026-08-21T15:38:51Z,BTCUSDT,SELL,0.00440000,77613.90,0.00000000,0.13660046,USDT,
529723058,2026-08-21T15:38:53Z,BTCUSDT,SELL,0.00200000,77612.40,0.00000000,0.06208992,USDT,
529723441,2026-08-21T15:40:47Z,BTCUSDT,BUY,0.00430000,77636.30,0.00000000,0.13353443,USDT,
529723447,2026-08-21T15:40:49Z,BTCUSDT,BUY,0.00430000,77636.30,0.00000000,0.13353443,USDT,
529723847,2026-08-21T15:42:26Z,BTCUSDT,BUY,0.00070000,77615.70,-0.00158812,0.02173239,USDT,
529723848,2026-08-21T15:42:26Z,BTCUSDT,BUY,0.00570000,77616.30,-0.01635187,0.17696516,USDT,
529724216,2026-08-21T15:43:51Z,BTCUSDT,SELL,0.00860000,77606.00,-0.26058000,0.26696463,USDT,
529725459,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00120000,77525.30,0.00000000,0.03721214,USDT,
529725460,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00100000,77528.20,0.00000000,0.03101128,USDT,
529725461,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00130000,77544.40,0.00000000,0.04032308,USDT,
529725462,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00640000,77552.70,0.00000000,0.19853491,USDT,
529725463,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00040000,77581.80,0.00000000,0.01241308,USDT,
529725464,2026-08-21T15:46:49Z,BTCUSDT,BUY,0.00020000,77616.40,0.00000000,0.00620931,USDT,
529725482,2026-08-21T15:46:52Z,BTCUSDT,BUY,0.00120000,77515.80,0.00000000,0.03720758,USDT,
529725483,2026-08-21T15:46:52Z,BTCUSDT,BUY,0.00100000,77521.90,0.00000000,0.03100876,USDT,
529725484,2026-08-21T15:46:52Z,BTCUSDT,BUY,0.00840000,77525.70,0.00000000,0.26048635,USDT,
529725518,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00060000,77500.30,0.00000000,0.01860007,USDT,
529725519,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00070000,77500.20,0.00000000,0.02170005,USDT,
529725520,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00130000,77500.20,0.00000000,0.04030010,USDT,
529725521,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00070000,77500.20,0.00000000,0.02170005,USDT,
529725522,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00100000,77500.20,0.00000000,0.03100008,USDT,
529725523,2026-08-21T15:46:58Z,BTCUSDT,SELL,0.00010000,77500.20,0.00000000,0.00310000,USDT,
529725526,2026-08-21T15:46:59Z,BTCUSDT,SELL,0.02110000,77511.40,-0.52576000,0.65419621,USDT,
529725541,2026-08-21T15:47:01Z,BTCUSDT,SELL,0.00200000,77511.40,0.00000000,0.06200912,USDT,
529726661,2026-08-21T15:50:34Z,BTCUSDT,BUY,0.00120000,77450.90,0.06337125,0.03717643,USDT,
529726662,2026-08-21T15:50:34Z,BTCUSDT,BUY,0.00100000,77452.90,0.05080937,0.03098116,USDT,
529726663,2026-08-21T15:50:34Z,BTCUSDT,BUY,0.00130000,77461.90,0.05435218,0.04028018,USDT,
529726664,2026-08-21T15:50:34Z,BTCUSDT,BUY,0.00290000,77549.30,-0.13221281,0.08995718,USDT,
529727025,2026-08-21T15:52:27Z,BTCUSDT,SELL,0.00440000,77437.60,0.00000000,0.13629017,USDT,
529727029,2026-08-21T15:52:30Z,BTCUSDT,SELL,0.00200000,77437.70,0.00000000,0.06195016,USDT,
529728245,2026-08-21T15:55:48Z,BTCUSDT,BUY,0.00640000,77361.50,0.48724000,0.19804544,USDT,
529728923,2026-08-21T15:59:34Z,BTCUSDT,SELL,0.00720000,77295.10,0.00000000,0.22260988,USDT,
529728944,2026-08-21T15:59:36Z,BTCUSDT,SELL,0.00130000,77327.00,0.00000000,0.04021004,USDT,
529728945,2026-08-21T15:59:36Z,BTCUSDT,SELL,0.00100000,77314.00,0.00000000,0.03092560,USDT,
529728946,2026-08-21T15:59:36Z,BTCUSDT,SELL,0.00090000,77294.80,0.00000000,0.02782612,USDT,
529729520,2026-08-21T16:01:40Z,BTCUSDT,BUY,0.01410000,77361.70,0.00000000,0.43631998,USDT,
