ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,delay_s,price
2026-08-16T21:40:04Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,13.05,0.0,564.75,843.22,True,False,0.0,1.005,0.00766
2026-08-16T21:40:39Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.36,0.0,1595.68,1298.2,True,False,0.0,1.078,0.09517
2026-08-16T21:40:42Z,BIOUSDT,COOLING,SELL,31.2,6.26,31.2,33.28,-12.53,2248.71,3126.17,True,True,0.1041,1.98,0.02414
2026-08-16T21:40:43Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2821.79,620.98,True,False,0.0,1.085,0.001441
2026-08-16T21:40:45Z,EDELUSDT,COOLING,SELL,27.75,0.0,27.75,39.14,13.06,767.48,843.22,True,False,-0.0652,0.952,0.00766
2026-08-16T21:41:14Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.3,0.0,1293.31,1298.2,True,False,0.0,0.954,0.09519
2026-08-16T21:41:18Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,16.63,-4.16,1694.46,2796.19,True,False,0.0208,1.16,0.02402
2026-08-16T21:41:20Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2739.98,460.07,True,False,0.0,1.006,0.00144
2026-08-16T21:41:22Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.14,0.0,732.15,843.22,True,False,0.0,1.016,0.00766
2026-08-16T21:42:21Z,CCUSDT,COOLING,SELL,7.05,0.0,7.05,3.15,0.0,1509.14,1279.43,True,False,0.0,2.198,0.09523
2026-08-16T21:42:24Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,12.48,0.0,2170.69,4378.92,True,False,0.0,1.964,0.02404
2026-08-16T21:42:27Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2739.98,608.69,True,False,0.0,0.987,0.001439
2026-08-16T21:42:29Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,26.11,0.0,564.75,843.22,True,False,0.0,0.969,0.00766
2026-08-16T21:43:02Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.35,0.0,1275.21,1636.09,True,False,0.0,0.958,0.09524
2026-08-16T21:43:05Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,12.48,0.0,2170.69,2945.66,True,False,0.0,1.977,0.02403
2026-08-16T21:43:07Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.63,0.0,2739.98,1042.22,True,False,0.0,0.957,0.001439
2026-08-16T21:43:08Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,26.08,0.0,564.0,843.22,True,False,0.0,0.941,0.00766
